"CODE" "OURCODE" "CS" "PS" "LC"
"438" "M5NS-IIIb-139" "M05NS3059" NA NA "finds the percentage in a given problem."
"439" "M5NS-IIIb-140" "M05NS3060" NA NA "solves routine and non-routine problems involving percentage using appropriate strategies and tools."
"440" "M5NS-IIIb-141" "M05NS3061" NA NA "creates problems involving percentage, with reasonable answers."
"441" "M5GE-IIIc-19" "M05GE3062" " understanding of polygons, circles, and solid figures." " construct and describe polygons, circles, and solid figures." "visualizes, names, and describes polygons with 5 or more sides."
"442" "M5GE-IIIc-20" "M05GE3063" NA NA "describes and compares properties of polygons (regular and irregularpolygons)."
"443" "M5GE-IIIc-21" "M05GE3064" NA NA "draws polygons with 5 or more sides."
"444" "M5GE-IIId-22" "M05GE3065" NA NA "visualizes congruent polygons."
"445" "M5GE-IIId-23.1" "M05GE3066" NA NA "visualizes and describes a circle."
"446" "M5GE-IIId-23.2" "M05GE3067" NA NA "identifies the terms related to a circle."
"447" "M5GE-IIIe-24" "M05GE3068" NA NA "draws circles with different radii using a compass."
"448" "M5GE-IIIe-25" "M05GE3069" NA NA "visualizes and describes solid figures."
"449" "M5GE-IIIe-26" "M05GE3070" NA NA "makes models of different solid figures: cube, prism,pyramid, cylinder, cone, and sphere using plane figures."
"450" "M5AL-IIIf-6" "M05AL3071" " understanding of the concept of sequence and solving simple equations.  " " apply the knowledge of sequence in various situations. _ use different problem solving strategies." "formulates the rule in finding the next term in a sequence."
"451" "M5AL-IIIf-14" "M05AL3072" NA NA "uses different strategies (looking for a pattern, working backwards, etc."
"452" "M5ME-IIIg-14" "M05ME3073" " understanding of time and circumference." " apply knowledge of time and circumference in mathematical problems and real-life situations." "measures time using a 12- hour and a 24-hour clock."
"453" "M5ME-IIIg-15" "M05ME3074" NA NA "calculates time in the different world time zones in relation to the Philippines."
"454" "M5ME-IIIg-16" "M05ME3075" NA NA "solves problems involving time."
"455" "M5ME-IIIh-67" "M05ME3076" NA NA "visualizes circumference of a circle."
"456" "M5ME-IIIh-68" "M05ME3077" NA NA "measures circumference of a circle using appropriate tools."
"457" "M5ME-IIIi-69" "M05ME3078" NA NA "derives a formula in finding the circumference of a circle."
"458" "M5ME-IIIi-70" "M05ME3079" NA NA "finds the circumference of a circle."
"459" "M5ME-IIIj-71" "M05ME3080" NA NA "solves routine and non-routine problems involving circumference of a circle."
"460" "M5ME-IVa-72" "M05ME4081" " understanding of area, volume and temperature." " apply knowledge of area, volume and temperature in mathematical problems and real-life situations." "visualizes area of a circle."
"461" "M5ME-IVa-73" "M05ME4082" NA NA "derives a formula in finding the area of a circle ."
"462" "M5ME-IVa-74" "M05ME4083" NA NA "finds the area of a given circle."
"463" "M5ME-IVb-75" "M05ME4084" NA NA "solves routine and non-routineproblems involving the area of a circle."
"464" "M5ME-IVb-76" "M05ME4085" NA NA "creates problems involving acircle, with reasonable answers."
"465" "M5ME-IVc-77" "M05ME4086" NA NA "visualizes the volume of a cube and rectangular prism."
"466" "M5ME-IVc-78" "M05ME4087" NA NA "names the appropriate unit of measure used for measuring the volume of a cube and a rectangle prism."
"467" "M5ME-IVc-79" "M05ME4088" NA NA "derives the formula in finding the volume of a cube and a rectangular prism using cubic cm and cubic m."
"468" "M5ME-IVd-80" "M05ME4089" NA NA "converts cu. cm"
"469" "M5ME-IVd-81" "M05ME4090" NA NA "finds the volume of a given cube and rectangular prism using cu. cm"
"470" "M5ME-IVd-82" "M05ME4091" NA NA "estimates and uses appropriate units of measure for volume."
"471" "M5ME-IVe-83" "M05ME4092" NA NA "solves routine and non-routine problems involving  volume of a cube and rectangular prism in real-life situations using appropriate strategies and tools."
"472" "M5ME-IVe-84" "M05ME4093" NA NA "creates problems (with reasonable answers) involving volume of a cube andrectangular prism in real-life situations."
"473" "M5ME-IVf-85" "M05ME4094" NA NA "reads and measures temperature using_thermometer"
"474" "M5ME-IVf-86" "M05ME4095" NA NA "estimates the temperature(- inside the classroom)."
"475" "M5ME-IVf-87" "M05ME4096" NA NA "solves routine and non-routine problems involving temperature in real-life situations."
"476" "M5ME-IVg-88" "M05ME4097" NA NA "creates problems involvingtemperature, with reasonable answers."
"477" "M5SP-IVg-1.5" "M05SP4098" " understanding of line graphs and experimental probability." " create and interpret representations of data (tables and line graphs) and apply experimental probability in mathematical problems and real-life situations." "collects data on one to two variables using any source."
"478" "M5SP-IVg-2.5" "M05SP4099" NA NA "organizes data in tabular form and presents them in a line graph."
"479" "M5SP-IVh-3.5" "M05SP4100" NA NA "interprets data presented in different kinds of line graphs (single to double-line graph)."
"480" "M5SP-IVh-4.5" "M05SP4101" NA NA "solves routine and non- routine problems using datapresented in a line graph."
"481" "M5SP-IVh-5.5" "M05SP4102" NA NA "draws inferences based on data presented in a linegraph."
"482" "M5SP-IVi-14" "M05SP4103" NA NA "describes experimental probability."
"483" "M5SP-IVi-15" "M05SP4104" NA NA "performs an experimentalprobability and  records result by listing."
"484" "M5SP-IVi-16" "M05SP4105" NA NA "analyzes data obtained from chance using experiments involving letter cards (A toZ) and number cards (0 to 20)."
"485" "M5SP-IVj-17" "M05SP4106" NA NA "solves routine and non-routine problems involving experimental  probability."
"486" "M5SP-IVj-18" "M05SP4107" NA NA "creates routine and non- routine problems involvingexperimental probability."
"487" "M6NS-Ia-86" "M06NS1001" " understanding of the four fundamental operations involving fractions and decimals." " apply the four fundamental operations involving fractions and decimals in mathematical problems and real-life situations." "adds and subtracts simple fractions and mixed numbers without or with regrouping."
"488" "M6NS-Ia-87.3" "M06NS1002" NA NA "solves routine and non-routine problems involving addition and/or subtraction of fractions using appropriate problem solving strategies and tools."
"489" "M6NS-Ia-88.3" "M06NS1003" NA NA "creates problems (with reasonable answers) involving addition and/or subtraction offractions."
"490" "M6NS-Ib-90.2" "M06NS1004" NA NA "multiplies simple fractions and mixed fractions."
"491" "M6NS-Ib-92.2" "M06NS1005" NA NA "solves routine or non-routine problems involving multiplication without or with addition or subtraction of fractions and mixed fractions using appropriate problem solving strategies and tools."
"492" "M6NS-Ib-93.2" "M06NS1006" NA NA "creates problems (with reasonable answers) involving multiplication without or with addition or subtraction offractions and mixed fractions."
"493" "M6NS-Ic-96.2" "M06NS1007" NA NA "divides simple fractions and mixed fractions."
"494" "M6NS-Ic-97.2" "M06NS1008" NA NA "solves routine or non-routine problems involving division without or with any of the other operations of fractions and mixed fractions using appropriate problem solving strategies and tools."
"495" "M6NS-Ic-98.2" "M06NS1009" NA NA "creates problems (with reasonable answers) involving division without or with any of the other operations offractions and mixed fractions."
"496" "M6NS-Id-106.2" "M06NS1010" NA NA "adds and subtracts decimals and mixed decimals through ten thousandths without or with regrouping."
"497" "M6NS-Id-108.2" "M06NS1011" NA NA "solves 1 or more steps routine and non-routine problems involving addition and/or subtraction of  decimals and mixed decimals using appropriate problem solving strategies and tools."
"498" "M6NS-Id-109.2" "M06NS1012" NA NA "creates problems (with reasonable answers) involving addition and/or subtraction ofdecimals and mixed decimals."
"499" "M6NS-Ie-111.3" "M06NS1013" NA NA "multiplies decimals and mixed decimals with factors up to 2 decimal places."
"500" "M6NS-Ie-111.4" "M06NS1014" NA NA "multiplies mentally decimals up to 2 decimals places by 0."
"501" "M6NS-Ie-113.2" "M06NS1015" NA NA "solves routine and non-routine problems involving multiplication of decimals and mixed decimals including money using appropriate problem solving strategies."
"502" "M6NS-If-113.3" "M06NS1016" NA NA "solves multi-step problems involving multiplication and addition or subtraction of decimals, mixed decimals and whole numbers including money using appropriate problem solving strategies and tools."
"503" "M6NS-If-114" "M06NS1017" NA NA "creates problems (with reasonable answers) involving multiplication without or with addition or subtraction of decimals, mixed decimals and whole numbers includingmoney."
"504" "M6NS-Ig-116.3" "M06NS1018" NA NA "divides whole numbers  by decimals up to 2 decimal places and vice versa."
"505" "M6NS-Ig-116.4" "M06NS1019" NA NA "divides decimals/mixed decimals up to 2 decimal places."
"506" "M6NS-Ih-116.5" "M06NS1020" NA NA "divides decimals up to 4 decimal places by 0."
"507" "M6NS-Ih-118" "M06NS1021" NA NA "divides decimals up to  2 decimal places by 10, 100, and 1 000 mentally."
"508" "M6NS-Ii-119" "M06NS1022" NA NA "differentiates terminating from repeating, non-terminating decimal quotients."
"509" "M6NS-Ii-120.2" "M06NS1023" NA NA "solves  routine and non-routine problems involving division of decimals, mixed decimals, and whole numbers including money using appropriate problem solving strategies and tools."
"510" "M6NS-Ij-120.3" "M06NS1024" NA NA "solves multi-step routine and non-routine problems involving division and any of the otheroperations of decimals, mixed_decimals"
"511" "M6NS-Ij-121.2" "M06NS1025" NA NA "creates problems (with reasonable answers) involving division without or with any of the other operations of decimals, mixed decimals andwhole numbers including money."
"512" "M6NS-IIa-129" "M06NS2026" " understanding of order of operations, ratio and proportion, percent, exponents, and integers." " apply knowledge of order of operations, ratio and proportion, percent, exponents, and integers in mathematical problems and real-life situations." "expresses one value as a fraction of another given their ratio and vice versa."
"513" "M6NS-IIa-130" "M06NS2027" NA NA "finds how many times one value is as large as another given their ratio and vice versa."
"514" "M6NS-IIb-131" "M06NS2028" NA NA "defines and illustrates the meaning of ratio andproportion using concrete or pictorial models."
"515" "M6NS-IIb-132" "M06NS2029" NA NA "sets up proportions for groupsof objects or numbers and for given situations."
"516" "M6NS-IIb-133" "M06NS2030" NA NA "finds a missing term in a proportion (direct, inverse, and partitive)."
"517" "M6NS-IIc-134" "M06NS2031" NA NA "solves problems involving direct proportion, partitive proportion, and inverse proportion in different contexts such as distance, rate, and time using appropriate strategies andtools."
"518" "M6NS-IIc-135" "M06NS2032" NA NA "creates problems involving ratioand proportion, with reasonable answers."
"519" "M6NS-IId-142" "M06NS2033" NA NA "finds the percentage or rate orpercent in a given problem."
"520" "M6NS-IId-143" "M06NS2034" NA NA "solves routine and non-routine problems involving finding the percentage, rate and base using appropriate strategies and tools."
"521" "M6NS-IIe-144" "M06NS2035" NA NA "solves percent problems such as percent of increase/decrease (discounts, original price, rate of discount, sale price, marked- up price), commission, sales tax, and simple interest."
"522" "M6NS-IIe-145" "M06NS2036" NA NA "creates problems involvingpercent, with reasonable answers."
"523" "M6NS-IIf-146" "M06NS2037" NA NA "describes the exponent and the base in a number expressed in exponential notation."
"524" "M6NS-IIf-147" "M06NS2038" NA NA "gives the value of numbers expressed in exponential notation."
"525" "M6NS-IIf-148" "M06NS2039" NA NA "interprets and explains the Grouping, Exponent, Multiplication, Division,Addition, Subtraction (GEMDAS) rule."
"526" "M6NS-IIf-149" "M06NS2040" NA NA "performs two or more different operations on whole numbers with or without exponents and grouping symbols."
"527" "M6NS-IIg-150" "M06NS2041" NA NA "identifies real-life situations that make use of integers."
"528" "M6NS-IIg-151" "M06NS2042" NA NA "describes the set of integers."
"529" "M6NS-IIg-152" "M06NS2043" NA NA "compares integers with other numbers such as whole numbers, fractions, anddecimals."
"530" "M6NS-IIh-153" "M06NS2044" NA NA "represents integers on the number line."
"531" "M6NS-IIh-154" "M06NS2045" NA NA "compares and arranges integers."
"532" "M6NS-IIh-155" "M06NS2046" NA NA "describes and interprets the basic operations on integers using materials such as algebra tiles, counters, chips, andcards."
"533" "M6NS-IIi-156" "M06NS2047" NA NA "performs the basic operations on integers."
"534" "M6NS-IIj-157" "M06NS2048" NA NA "solves routine and non-routine problems involving basic operations of integers usingappropriate strategies and tools."
"535" "M6GE-IIIa-27" "M06GE3049" " understanding of solid figures." " construct and describe the different solid figures: cube, prism, pyramid, cylinder, cone, and sphere." "visualizes and describes the different solid figures: cube, prism, pyramid, cylinder, cone, and sphere."
"536" "M6GE-IIIa-28" "M06GE3050" NA NA "differentiates solid figures from plane figures."
"537" "M6GE-IIIb-29" "M06GE3051" NA NA "illustrates the different solid figures using various concreteand pictorial models."
"538" "M6GE-IIIb-30" "M06GE3052" NA NA "identifies the faces of a solid figure."
"539" "M6GE-IIIc-31" "M06GE3053" NA NA "visualizes and describes the different solid figures: cube,prism, pyramid, cylinder, cone, and sphere."
"540" "M6GE-IIIc-32" "M06GE3054" NA NA "identifies the nets of the following space figures: cube, prism, pyramid, cylinder, cone,and sphere using plane figures."
"541" "M6AL-IIId-7" "M06AL3055" " understanding of sequence in forming rules, expressions and equations." " apply knowledge of sequence, expressions, and equations in mathematical problems and real-life situations." "formulates the rule in finding the nth termusing different strategies (looking for a pattern, guessing and checking, working backwards)-4,7,13,16,…n(the nth term is 3n+1)"
"542" "M6AL-IIId-15" "M06AL3056" NA NA "differentiates expression from equation."
"543" "M6AL-IIIe-16" "M06AL3057" NA NA "gives the translation of real- life verbal expressions and equations into letters or symbols and vice versa."
"544" "M6AL-IIIe-17" "M06AL3058" NA NA "defines a variable in an algebraic expression andequation."
"545" "M6AL-IIIe-18" "M06AL3059" NA NA "represents quantities in real- life situations using algebraicexpressions and equations."
"546" "M6AL-IIIf-19" "M06AL3060" NA NA "solves routine and non-routine problems involving different types of numerical expressions and equations such as 7+ 9=      + 6."
"547" "M6AL-IIIf-20" "M06AL3061" NA NA "creates routine and non- routine problems involving numerical expressions andequations."
"548" "M6ME-IIIg-17" "M06ME3062" " understanding of rate and speed, and of area and surface area of plane and solid/space figures." " apply knowledge of speed, area, and surface area of plane and solid/space figures in mathematical problems and real-life situations" "calculates speed, distance, and time."
"549" "M6ME-IIIg-18" "M06ME3063" NA NA "solves problems involving average rate and speed."
"550" "M6ME-IIIh-89" "M06ME3064" NA NA "finds the area of composite figures formed by any two or more of the following: triangle, square, rectangle, circle, and semi-circle."
"551" "M6ME-IIIh-90" "M06ME3065" NA NA "solves routine and non-routine problems involving area of composite figures formed byany two or more of the_following"
"552" "M6ME-IIIi-91" "M06ME3066" NA NA "visualizes and describes surface area and names the unit of measure used for measuring the surface area of solid/space figures."
"553" "M6ME-IIIi-92" "M06ME3067" NA NA "derives a formula for finding the surface area of cubes, prisms, pyramids, cylinders, cones, and spheres."
"554" "M6ME-IIIi-93" "M06ME3068" NA NA "finds the surface area of cubes, prisms, pyramids, cylinders, cones, and spheres."
"555" "M6ME-IIIj-94" "M06ME3069" NA NA "solves word problems involving measurement of surface area."
"556" "M6ME-IVa-95" "M06ME4070" " understanding of volume of solid figures and meter reading." " apply knowledge of volume of solid figures and meter reading in mathematical problems and real-life situations." "determines the relationship of the volume between-  a rectangular prism and a pyramid;-  a cylinder and a cone;-  and a cylinder and sphere."
"557" "M6ME-IVa-96" "M06ME4071" NA NA "derives the formula for finding the volume of cylinders, pyramids, cones, and spheres."
"558" "M6ME-IVb-97" "M06ME4072" NA NA "finds the volume of cylinders, pyramids, cones, and spheres."
"559" "M6ME-IVc-98" "M06ME4073" NA NA "solves routine and non-routine problems involving volumes of solids."
"560" "M6ME-IVc-99" "M06ME4074" NA NA "creates problems involving surface area and volume of solid/space figures, withreasonable answers."
"561" "M6ME-IVd-100" "M06ME4075" NA NA "reads and interprets electric and water meter readings."
"562" "M6ME-IVd-101" "M06ME4076" NA NA "solves routine and non-routine problems involving electric and water consumption."
"563" "M6ME-IVd-102" "M06ME4077" NA NA "creates problems involving electric and water consumption, with reasonableanswers."
"564" "M6SP-IVe-1.6" "M06SP4078" " understanding of pie graphs and experimental probability." " create and interpret representations of data (tables and pie graphs) and apply experimental probability in mathematical problems and real-life situations." "collects data on one or two variables using any source."
"565" "M6SP-IVe-2.6" "M06SP4079" NA NA "constructs a pie graph based on a given set of data."
"566" "M6SP-IVf-3.6" "M06SP4080" NA NA "interprets data presented in a pie graph."
"567" "M6SP-IVf-4.6" "M06SP4081" NA NA "solves routine and non-routine problems using data presented in a pie graph."
"568" "M6SP-IVg-6" "M06SP4082" NA NA "creates problems that can be answered using information presented in a pie graph."
"569" "M6SP-IVg-19" "M06SP4083" NA NA "describes the meaning of probability such as 50% chance of rain and one in amillion chance of winning."
"570" "M6SP-IVh-20" "M06SP4084" NA NA "quantifies the phrases “mostlikely to happen” and “unlikely to happen”."
"571" "M6SP-IVh-21" "M06SP4085" NA NA "performs experiments and records outcomes."
"572" "M6SP-IVi-22" "M06SP4086" NA NA "makes listings and diagrams of outcomes and tells the number of favorable outcomes and chances using theselistings and diagrams."
"573" "M6SP-IVi-23" "M06SP4087" NA NA "makes simple predictions of events based on the results of experiments."
"574" "M6SP-IVj-24" "M06SP4088" NA NA "solves routine and non-routine problems involving experimental and theoreticalprobability."
"575" "M6SP-IVj-25" "M06SP4089" NA NA "creates problems involvingexperimental and theoretical probability."
"576" "M7NS-Ia-1" "M07NS1001" " understanding of key concepts of sets and the real number system." " formulate challenging situations involving sets and real numbers and solve these in a variety of strategies." "describes well-defined sets, subsets, universal sets, and the null set and cardinality of sets."
"577" "M7NS-Ia-2" "M07NS1002" NA NA "illustrates the union and intersection of sets and the difference of two sets."
"578" "M7NS-Ib-1" "M07NS1003" NA NA "uses Venn Diagrams to represent sets, subsets, and set operations."
"579" "M7NS-Ib-2" "M07NS1004" NA NA "solves problems involving sets."
"580" "M7NS-Ic-1" "M07NS1005" NA NA "represents the absolute value of a number on a number line as the distance of a number from 0."
"581" "M7NS-Ic-d" "M07NS1006" NA NA "performs fundamental operations on integers."
"582" "M7NS-Id-2" "M07NS1007" NA NA "illustrates the different properties of operations on the set of integers."
"583" "M7NS-Ie-1" "M07NS1008" NA NA "expresses rational numbers from fraction form to decimal form and vice versa."
"584" "M7NS-Ie-2" "M07NS1009" NA NA "arranges rational numbers on a number line."
"585" "M7NS-If-1" "M07NS1010" NA NA "performs operations on rational numbers"
"586" "M7NS-Ig-1" "M07NS1011" NA NA "describes principal roots and tells whether they are rational or irrational."
"587" "M7NS-Ig-2" "M07NS1012" NA NA "determines between what two integers the square root of anumber is."
"588" "M7NS-Ig-3" "M07NS1013" NA NA "estimates the square root of a whole number to the nearesthundredth."
"589" "M7NS-Ig-4" "M07NS1014" NA NA "plots irrational numbers (up to square roots) on a number line."
"590" "M7NS-Ih-1" "M07NS1015" NA NA "illustrates the different subsets of real numbers."
"591" "M7NS-Ih-2" "M07NS1016" NA NA "arranges real numbers in increasing or decreasing order."
"592" "M7NS-Ii-1" "M07NS1017" NA NA "writes numbers in scientific notation and vice versa."
"593" "M7NS-Ii-2" "M07NS1018" NA NA "represents real-life situations which involve real numbers."
"594" "M7NS-Ij-1" "M07NS1019" NA NA "solves problems involving real numbers."
"595" "M7ME-IIa-1" "M07ME2020" " understanding of the key concepts of measurement." " formulate real-life problems involving measurements and solve these using a variety of strategies." "illustrates what it means to measure."
"596" "M7ME-IIa-2" "M07ME2021" NA NA "describes the development of measurement from the primitive tothe present international system of units."
"597" "M7ME-IIa-3" "M07ME2022" NA NA "approximates the measures of quantities particularly length , weight/mass, volume, time, angle and temperature and rate."
"598" "M7ME-IIb-1" "M07ME2023" NA NA "converts measurements from one unit to another in both Metric and English systems."
"599" "M7ME-IIb-2" "M07ME2024" NA NA "solves problems involving conversion of units of measurement."
"600" "M7AL-IIc-1" "M07AL2025" " understanding of key concepts of algebraic expressions, the properties of real numbers as applied in linear equations, and inequalities in one variable." " model situations using oral, written, graphical, and algebraic methods in solving problems involving algebraic expressions, linear equations, and inequalities in one variable." "translates English phrases to mathematical phrases and vice versa."
"601" "M7AL-IIc-2" "M07AL2026" NA NA "interprets the meaning of  anwheren  is a positive integer."
"602" "M7AL-IIc-3" "M07AL2027" NA NA "differentiates between constants and variables in a given algebraic expression."
"603" "M7AL-IIc-4" "M07AL2028" NA NA "evaluates algebraic expressions for given values of the variables."
"604" "M7AL-IId-1" "M07AL2029" NA NA "classifies algebraic expressions which are polynomials according to degree and number of terms."
"605" "M7AL-IId-2" "M07AL2030" NA NA "adds and subtracts polynomials."
"606" "M7AL-IId-e" "M07AL2031" NA NA "derives the laws of exponent."
"607" "M7AL-IIe-2" "M07AL2032" NA NA "multiplies and divides polynomials."
"608" "M7AL-IIe-g" "M07AL2033" NA NA "uses models and algebraic methods to find the: (a) product of two binomials; (b) product of the sum and difference of two terms; (c) square of a binomial; (d) cube of a binomial; (e) product of a binomial and a trinomial."
"609" "M7AL-IIg-2" "M07AL2034" NA NA "solves problems involving algebraic expressions."
"610" "M7AL-IIh-1" "M07AL2035" NA NA "differentiates between algebraic expressions and equations."
"611" "M7AL-IIh-2" "M07AL2036" NA NA "translates English sentences tomathematical sentences and vice versa."
"612" "M7AL-IIh-3" "M07AL2037" NA NA "differentiates between equations and inequalities."
"613" "M7AL-IIh-4" "M07AL2038" NA NA "illustrates linear equation and inequality in one variable."
"614" "M7AL-IIi-1" "M07AL2039" NA NA "finds the solution of linear equation or inequality in one variable."
"615" "M7AL-IIi-j" "M07AL2040" NA NA "solves linear equation or inequality in one variable involving absolute value by: (a) graphing; and (b) algebraic methods."
"616" "M7AL-IIj-2" "M07AL2041" NA NA "solves problems involving equations and inequalities in one variable."
"617" "M7GE-IIIa-1" "M07GE3042" " understanding of key concepts of geometry of shapes and sizes, and geometric relationships." " create models of plane figures and formulate and solve accurately authentic problems involving sides and angles of a polygon" "represents point, line and plane using concrete and pictorial models."
"618" "M7GE-IIIa-2" "M07GE3043" NA NA "illustrates subsets of a line."
"619" "M7GE-IIIa-3" "M07GE3044" NA NA "classifies the different kinds of angles."
"620" "M7GE-IIIb-1" "M07GE3045" NA NA "derives relationships of geometric figures using measurements and by inductive reasoning; supplementary angles, complementary angles, congruent angles, vertical angles, adjacent angles, linear pairs, perpendicular lines, and parallellines."
"621" "M7GE-IIIc-1" "M07GE3046" NA NA "derives relationships among angles formed by parallel lines cut by atransversal using measurement and by inductive reasoning."
"622" "M7GE-IIId-e" "M07GE3047" NA NA "uses a compass and straightedge to bisect line segments and angles and construct perpendiculars andparallels."
"623" "M7GE-IIIe-2" "M07GE3048" NA NA "illustrates polygons: (a) convexity;(b) angles; and (c) sides."
"624" "M7GE-IIIf-1" "M07GE3049" NA NA "derives inductively the relationship of exterior and interior angles of aconvex polygon."
"625" "M7GE-IIIg-1" "M07GE3050" NA NA "illustrates a circle and the terms related to it: radius, diameter chord, center, arc, chord, central angle, and inscribed angle."
"626" "M7GE-IIIh-i" "M07GE3051" NA NA "constructs triangles, squares, rectangles, regular pentagons, and_regular"
"627" "M7GE-IIIj-1" "M07GE3052" NA NA "solves problems involving sides and angles of a polygon."
"628" "M7SP-IVa-1" "M07SP4053" " understanding of key concepts, uses and importance of Statistics, data collection/gathering and the different forms of data representation, measures of central tendency, measures of variability, and probability." " collect and organize data systematically and compute accurately measures of central tendency and variability and apply these appropriately in data analysis and interpretation in different fields." "explains the importance of Statistics."
"629" "M7SP-IVa-2" "M07SP4054" NA NA "poses problems that can be solved using Statistics."
"630" "M7SP-IVa-3" "M07SP4055" NA NA "formulates simple statistical instruments."
"631" "M7SP-IVb-1" "M07SP4056" NA NA "gathers statistical data."
"632" "M7SP-IVc-1" "M07SP4057" NA NA "organizes data in a frequency distribution table."
"633" "M7SP-IVd-e" "M07SP4058" NA NA "uses appropriate graphs to represent organized data: pie chart, bar graph, line graph,  histogram, and ogive."
"634" "M7SP-IVf-1" "M07SP4059" NA NA "illustrates the measures of central tendency (mean, median, and mode) of a statistical data."
"635" "M7SP-IVf-g" "M07SP4060" NA NA "calculates the measures of central tendency of ungrouped and grouped data."
"636" "M7SP-IVh-1" "M07SP4061" NA NA "illustrates the measures of variability (range, average deviation, variance, standard deviation) of a statistical data."
"637" "M7SP-IVh-i" "M07SP4062" NA NA "calculates the measures of variability of grouped and ungrouped data."
"638" "M7SP-IVj-1" "M07SP4063" NA NA "uses appropriate statistical measures in analyzing and interpreting statistical data."
"639" "M7SP-IVj-2" "M07SP4064" NA NA "draws conclusions from graphic andtabular data and measures of central tendency and variability."
"640" "M8AL-Ia-b" "M08AL1001" " understanding of key concepts of factors of polynomials, rational algebraic expressions, linear equations and inequalities in two variables, systems of linear equations and inequalities in two variables and linear functions." " formulate real-life problems involving factors of polynomials, rational algebraic expressions, linear equations and inequalities in two variables, systems of linear equations and inequalities in two variables and linear functions, and solve these problems accurately using a variety of strategies." "factors completely different types of polynomials (polynomials with common monomial factor, difference of two squares, sum and difference of two cubes, perfect square trinomials, and general trinomials)."
"641" "M8AL-Ib-2" "M08AL1002" NA NA "solves problems involving  factors of polynomials."
"642" "M8AL-Ic-1" "M08AL1003" NA NA "illustrates rational algebraic expressions."
"643" "M8AL-Ic-2" "M08AL1004" NA NA "simplifies rational algebraic expressions."
"644" "M8AL-Ic-d" "M08AL1005" NA NA "performs operations on rational algebraic expressions."
"645" "M8AL-Id-2" "M08AL1006" NA NA "solves problems involving rational algebraic expressions."
"646" "M8AL-Ie-1" "M08AL1007" NA NA "illustrates the rectangular coordinate system and its uses."
"647" "M8AL-Ie-3" "M08AL1008" NA NA "illustrates linear equations in two variables."
"648" "M8AL-Ie-4" "M08AL1009" NA NA "illustrates the slope of a line."
"649" "M8AL-Ie-5" "M08AL1010" NA NA "finds the slope of a line given two points, equation, and graph."
"650" "M8AL-If-1" "M08AL1011" NA NA "writes the linear equationax <U+F02B>by <U+F03D>c  in the formy <U+F03D>mx <U+F02B>b and vice versa."
"651" "M8AL-If-2" "M08AL1012" NA NA "graphs a linear equation given (a) any two points; (b) the  x  – andy  – intercepts; (c) the slope and a point on the line."
"652" "M8AL-If-3" "M08AL1013" NA NA "describes the graph of a linear equation in terms of its intercepts and slope."
"653" "M8AL-Ig-1" "M08AL1014" NA NA "finds the equation of a line given(a) two points; (b) the slope and a point; (c) the slope and its intercepts."
"654" "M8AL-Ig-2" "M08AL1015" NA NA "solves problems involving linear equations in two variables."
"655" "M8AL-Ih-1" "M08AL1016" NA NA "illustrates a system of linear equations in two variables."
"656" "M8AL-Ih-2" "M08AL1017" NA NA "graphs a system of linear equations in two variables."
"657" "M8AL-Ih-3" "M08AL1018" NA NA "categorizes when a given system of linear equations in two variables has graphs that are parallel, intersecting, and coinciding."
"658" "M8AL-Ii-j" "M08AL1019" NA NA "solves a system of linear equations in two variables by (a) graphing;(b) substitution; (c) elimination."
"659" "M8AL-Ij-2" "M08AL1020" NA NA "solves problems involving systems of linear equations in two variables."
"660" "M8AL-IIa-1" "M08AL2021" " key  concepts of linear inequalities in two variables, systems of linear inequalities in two variables and linear functions." " formulate and solve accurately real-life problems involving linear inequalities in two variables, systems of linear inequalities in two variables, and linear functions." "illustrates linear inequalities in two variables."
"661" "M8AL-IIa-2" "M08AL2022" NA NA "differentiates linear inequalities in two variables from linear equationsin two variables."
"662" "M8AL-IIa-3" "M08AL2023" NA NA "graphs linear inequalities in two variables."
"663" "M8AL-IIa-4" "M08AL2024" NA NA "solves problems involving linear inequalities in two variables."
"664" "M8AL-IIb-1" "M08AL2025" NA NA "solves a system of linear inequalities in two variables."
"665" "M8AL-IIb-2" "M08AL2026" NA NA "solves problems involving systems of linear inequalities in two variables."
"666" "M8AL-IIc-1" "M08AL2027" NA NA "illustrates a relation and a function."
"667" "M8AL-IIc-2" "M08AL2028" NA NA "verifies if a given relation is a function."
"668" "M8AL-IIc-3" "M08AL2029" NA NA "determines dependent and independent variables."
"669" "M8AL-IId-1" "M08AL2030" NA NA "finds the domain and range of a function."
"670" "M8AL-IId-2" "M08AL2031" NA NA "illustrates a linear function."
"671" "M8AL-IId-e" "M08AL2032" NA NA "graphs a linear function’s (a) domain; (b) range; (c) table of values; (d) intercepts; and (e) slope."
"672" "M8AL-IIe-2" "M08AL2033" NA NA "solves problems involving linear functions."
"673" "M8GE-IIf-1" "M08GE2034" " understanding of key concepts of logic and reasoning." " communicate mathematical thinking with coherence and clarity in formulating and analyzing arguments." "determines the relationship between the hypothesis and theconclusion of an if-then statement."
"674" "M8GE-IIf-2" "M08GE2035" NA NA "transforms a statement into an equivalent if-then statement."
"675" "M8GE-IIg-1" "M08GE2036" NA NA "determines the inverse, converse, and contrapositive of an if-then statement."
"676" "M8GE-IIg-2" "M08GE2037" NA NA "illustrates the equivalences of: (a) the statement and its contrapositive; and (b) theconverse and inverse of a statement."
